State,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Alabama,7.2,6.7,6.1,5.9,4.5,3.9,3.2,6.4,3.4,2.6,2.3
Alaska,6.9,6.7,6.3,6.6,6.5,6.0,5.6,8.3,6.4,4.0,3.8
Arizona,7.5,6.8,6.1,5.5,5.0,4.8,4.8,7.8,5.1,3.8,3.7
Arkansas,6.7,5.9,5.0,4.0,3.7,3.7,3.5,6.2,4.1,3.3,2.9
California,8.5,7.6,6.2,5.5,4.8,4.3,4.1,10.2,7.3,4.2,4.5
Colorado,6.2,5.0,3.7,3.1,2.6,3.1,2.7,6.8,5.5,3.0,2.9
Connecticut,7.5,6.6,5.6,4.9,4.4,3.9,3.6,8.0,6.3,4.2,3.7
Delaware,6.1,5.6,4.8,4.5,4.5,3.7,3.6,7.5,5.5,4.5,4.3
District of Columbia,8.1,7.7,6.9,6.2,6.1,5.7,5.5,7.9,6.8,4.6,4.9
Florida,7.1,6.4,5.5,4.9,4.3,3.7,3.3,8.2,4.7,2.9,2.7
Georgia,7.7,7.1,6.1,5.5,4.8,4.0,3.6,6.5,3.9,3.0,3.2
Hawaii,4.7,4.2,3.4,2.9,2.2,2.4,2.5,11.9,6.0,3.5,3.1
Idaho,6.4,4.4,3.9,3.7,3.2,2.9,2.9,5.5,3.5,2.7,2.8
Illinois,8.7,7.2,6.0,5.9,5.0,4.4,4.0,9.3,6.1,4.5,4.3
Indiana,6.7,6.0,4.8,4.4,3.5,3.4,3.3,7.3,3.9,3.0,3.3
Iowa,4.5,4.2,3.7,3.6,3.1,2.6,2.7,5.2,3.8,2.7,2.9
Kansas,5.0,4.5,4.2,4.0,3.6,3.4,3.3,5.9,3.3,2.7,2.8
Kentucky,7.7,6.4,5.2,5.0,4.8,4.2,4.1,6.5,4.4,3.9,3.9
Louisiana,5.9,6.3,6.3,6.1,5.1,4.8,4.6,8.7,5.6,3.6,3.5
Maine,6.3,5.6,4.4,3.8,3.4,3.2,2.9,5.1,4.6,2.9,2.6
Maryland,6.2,5.7,5.0,4.3,4.0,3.8,3.4,6.5,5.3,3.2,2.2
Massachusetts,6.4,5.7,4.8,4.0,3.8,3.5,3.0,9.4,5.5,3.8,3.0
Michigan,8.4,7.2,5.4,5.0,4.6,4.2,4.1,10.0,5.9,4.2,3.9
Minnesota,4.8,4.3,3.8,3.9,3.5,3.0,3.3,6.3,3.8,2.7,3.0
Mississippi,8.2,7.6,6.5,6.0,5.2,5.0,5.5,8.1,5.5,3.9,3.4
Missouri,6.6,6.2,5.1,4.6,3.7,3.2,3.2,6.2,4.1,2.5,2.7
Montana,5.1,4.7,4.3,4.3,4.1,3.8,3.5,5.8,3.4,2.6,2.5
Nebraska,3.5,3.3,3.0,3.1,3.0,2.9,3.1,4.3,2.7,2.3,2.1
Nevada,9.3,8.2,6.9,5.8,5.0,4.4,4.1,13.7,6.9,5.4,5.4
New Hampshire,5.0,4.3,3.4,2.9,2.8,2.6,2.6,6.7,3.4,2.5,2.1
New Jersey,7.6,6.7,5.7,4.9,4.5,4.0,3.5,9.5,6.6,3.7,3.8
New Mexico,6.9,6.6,6.6,6.8,6.0,4.9,5.0,7.9,7.1,4.0,3.6
New York,7.3,6.3,5.2,4.9,4.6,4.1,3.9,9.9,7.0,4.3,4.0
North Carolina,6.5,6.1,5.7,5.1,4.5,4.0,3.9,7.3,4.9,3.6,3.4
North Dakota,2.8,2.6,2.8,3.1,2.6,2.4,2.2,5.0,3.1,2.1,2.0
Ohio,7.1,5.8,5.0,5.1,5.0,4.5,4.2,8.3,5.1,4.0,3.6
Oklahoma,5.0,4.3,4.3,4.7,4.0,3.3,3.1,6.3,4.0,3.0,2.9
Oregon,7.2,6.6,5.5,4.8,4.1,4.0,3.7,7.6,5.2,4.1,3.9
Pennsylvania,6.7,5.9,5.4,5.3,5.0,4.4,4.3,8.9,6.0,4.4,3.9
Rhode Island,9.3,7.8,6.0,5.2,4.5,4.0,3.6,9.2,5.5,3.2,2.9
South Carolina,6.5,6.3,5.9,4.9,4.2,3.4,2.8,6.0,4.0,3.3,3.1
South Dakota,3.5,3.3,3.1,3.0,3.1,2.8,2.8,4.2,2.6,2.1,1.9
Tennessee,7.3,6.6,5.6,4.8,3.8,3.5,3.3,7.5,4.5,3.4,3.3
Texas,6.0,5.2,4.5,4.7,4.3,3.9,3.5,7.7,5.7,3.9,4.1
Utah,4.0,3.6,3.5,3.4,3.2,2.9,2.5,4.9,2.8,2.3,2.4
Vermont,4.2,4.0,3.5,3.1,3.0,2.5,2.1,5.7,3.7,2.6,2.2
Virginia,5.4,5.1,4.4,4.0,3.7,3.0,2.8,6.5,3.9,2.8,2.9
Washington,6.4,5.9,5.4,5.2,4.6,4.4,4.2,8.5,5.2,4.2,4.1
West Virginia,6.7,6.5,6.6,6.1,5.2,5.2,4.9,8.3,5.1,3.9,3.6
Wisconsin,6.3,5.4,4.4,3.9,3.3,3.0,3.2,6.4,3.8,2.9,2.7
Wyoming,4.6,4.3,4.2,5.3,4.3,4.1,3.7,5.9,4.6,3.6,3.3
Puerto Rico,14.9,13.8,12.1,11.8,10.9,9.2,8.3,7.3,8.0,6.0,6.0
